"Journal Data Filtered By:  Selected Categories: ENGINEERING, AEROSPACE;ENGINEERING, BIOMEDICAL;ENGINEERING, CHEMICAL;ENGINEERING, CIVIL Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"APL Bioengineering","APL BIOENG","2473-2877","2473-2877","ENGINEERING, BIOMEDICAL - SCIE","1,299","6","Q1","0.99","92.21"%,
"Carbon Resources Conversion","CARBON RES CONVERS","2588-9133","2588-9133","ENGINEERING, CHEMICAL - ESCI","761","6","N/A","0.72","95.35"%,
"Sustainable and Resilient Infrastructure","SUSTAIN RESIL INFRAS","2378-9689","2378-9697","ENGINEERING, CIVIL - ESCI","740","5.9","N/A","1.35","24.17"%,
"STRUCTURAL SAFETY","STRUCT SAF","0167-4730","1879-3355","ENGINEERING, CIVIL - SCIE","6,699","5.8","Q1","1.31","13.68"%,
"Artificial Cells Nanomedicine and Biotechnology","ARTIF CELL NANOMED B","2169-1401","2169-141X","ENGINEERING, BIOMEDICAL - SCIE","10,545","5.8","Q1","1.22","98.65"%,
"IEEE Open Journal of Engineering in Medicine and Biology","IEEE OPEN J ENG MED","N/A","2644-1276","ENGINEERING, BIOMEDICAL - ESCI","392","5.8","N/A","1.08","97.87"%,
"Chinese Journal of Aeronautics","CHINESE J AERONAUT","1000-9361","2588-9230","ENGINEERING, AEROSPACE - SCIE","9,532","5.7","Q1","1.78","85.65"%,
"COMPUTERIZED MEDICAL IMAGING AND GRAPHICS","COMPUT MED IMAG GRAP","0895-6111","1879-0771","ENGINEERING, BIOMEDICAL - SCIE","4,576","5.7","Q2","1.57","16.84"%,
"Journal of the Taiwan Institute of Chemical Engineers","J TAIWAN INST CHEM E","1876-1070","1876-1089","ENGINEERING, CHEMICAL - SCIE","18,265","5.7","Q1","0.9","1.45"%,
"Aerospace Science and Technology","AEROSP SCI TECHNOL","1270-9638","1626-3219","ENGINEERING, AEROSPACE - SCIE","22,786","5.6","Q1","2.09","6.09"%,
"ENGINEERING STRUCTURES","ENG STRUCT","0141-0296","1873-7323","ENGINEERING, CIVIL - SCIE","66,369","5.5","Q1","1.23","9.28"%,
"JOURNAL OF FOOD ENGINEERING","J FOOD ENG","0260-8774","1873-5770","ENGINEERING, CHEMICAL - SCIE","33,881","5.5","Q1","1.16","19.07"%,
"Structural Control & Health Monitoring","STRUCT CONTROL HLTH","1545-2255","1545-2263","ENGINEERING, CIVIL - SCIE","8,291","5.4","Q1","1.18","81.15"%,
"SEPARATION AND PURIFICATION REVIEWS","SEP PURIF REV","1542-2119","1542-2127","ENGINEERING, CHEMICAL - SCIE","1,456","5.4","Q1","0.8","3.26"%,
"Propulsion and Power Research","PROPULS POWER RES","2212-540X","2212-540X","ENGINEERING, AEROSPACE - SCIE","1,164","5.3","Q1","1.33","96"%,
"Transportation Geotechnics","TRANSP GEOTECH","2214-3912","2214-3912","ENGINEERING, CIVIL - SCIE","3,540","5.3","Q1","1.27","8.06"%,
"CATALYSIS TODAY","CATAL TODAY","0920-5861","1873-4308","ENGINEERING, CHEMICAL - SCIE","42,067","5.3","Q1","1","11.27"%,
"Journal of Natural Gas Science and Engineering","J NAT GAS SCI ENG","1875-5100","2212-3865","ENGINEERING, CHEMICAL - SCIE","20,049","5.3","Q1","0.74","6.03"%,
"ENERGY & FUELS","ENERG FUEL","0887-0624","1520-5029","ENGINEERING, CHEMICAL - SCIE","69,078","5.3","Q1","0.66","3.69"%,
"POWDER TECHNOLOGY","POWDER TECHNOL","0032-5910","1873-328X","ENGINEERING, CHEMICAL - SCIE","49,101","5.2","Q1","0.86","9.95"%,
"ADVANCED POWDER TECHNOLOGY","ADV POWDER TECHNOL","0921-8831","1568-5527","ENGINEERING, CHEMICAL - SCIE","14,371","5.2","Q1","0.79","7"%,
"AEROSOL SCIENCE AND TECHNOLOGY","AEROSOL SCI TECH","0278-6826","1521-7388","ENGINEERING, CHEMICAL - SCIE","8,417","5.2","Q1","0.79","20.52"%,
"Journal of NeuroEngineering and Rehabilitation","J NEUROENG REHABIL","N/A","1743-0003","ENGINEERING, BIOMEDICAL - SCIE","8,880","5.1","Q2","1.37","99.79"%,
"IEEE Transactions on Biomedical Circuits and Systems","IEEE T BIOMED CIRC S","1932-4545","1940-9990","ENGINEERING, BIOMEDICAL - SCIE","5,478","5.1","Q2","1.1","15.47"%,
"Biomedical Signal Processing and Control","BIOMED SIGNAL PROCES","1746-8094","1746-8108","ENGINEERING, BIOMEDICAL - SCIE","14,647","5.1","Q2","1.09","7.09"%,
"JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT","J CONSTR ENG M","0733-9364","1943-7862","ENGINEERING, CIVIL - SCIE","14,014","5.1","Q1","0.92","2.27"%,
"REACTIVE & FUNCTIONAL POLYMERS","REACT FUNCT POLYM","1381-5148","1873-166X","ENGINEERING, CHEMICAL - SCIE","9,255","5.1","Q1","0.82","6.03"%,
"Ocean Engineering","OCEAN ENG","0029-8018","1873-5258","ENGINEERING, CIVIL - SCIE","43,807","5","Q1","1.37","9.48"%,
"EARTHQUAKE SPECTRA","EARTHQ SPECTRA","8755-2930","1944-8201","ENGINEERING, CIVIL - SCIE","9,475","5","Q1","1.05","6.69"%,
"IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING","IEEE T NEUR SYS REH","1534-4320","1558-0210","ENGINEERING, BIOMEDICAL - SCIE","12,732","4.9","Q2","1.62","69.57"%,
"JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A","J BIOMED MATER RES A","1549-3296","1552-4965","ENGINEERING, BIOMEDICAL - SCIE","19,115","4.9","Q2","0.77","10.03"%,
"Progress in Biomaterials","PROG BIOMATER","2194-0509","2194-0517","ENGINEERING, BIOMEDICAL - SCIE","1,212","4.9","Q2","0.74","9.88"%,
"MINERALS ENGINEERING","MINER ENG","0892-6875","0892-6875","ENGINEERING, CHEMICAL - SCIE","21,602","4.8","Q1","1.33","9"%,
"JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS","J WIND ENG IND AEROD","0167-6105","1872-8197","ENGINEERING, CIVIL - SCIE","18,882","4.8","Q1","1.08","15.55"%,
"IRBM","IRBM","1959-0318","1876-0988","ENGINEERING, BIOMEDICAL - SCIE","1,291","4.8","Q2","0.85","11.11"%,
"Journal of Functional Biomaterials","J FUNCT BIOMATER","N/A","2079-4983","ENGINEERING, BIOMEDICAL - SCIE","3,054","4.8","Q2","0.75","99.57"%,
"ChemBioEng Reviews","CHEMBIOENG REV","2196-9744","2196-9744","ENGINEERING, CHEMICAL - SCIE","1,177","4.8","Q1","0.55","7.95"%,
"COMPUTERS & STRUCTURES","COMPUT STRUCT","0045-7949","1879-2243","ENGINEERING, CIVIL - SCIE","17,464","4.7","Q1","1.11","15.35"%,
"CHEMICAL ENGINEERING SCIENCE","CHEM ENG SCI","0009-2509","1873-4405","ENGINEERING, CHEMICAL - SCIE","52,131","4.7","Q2","0.75","10.8"%,
"Progress in Biomedical Engineering","PROG BIOMED ENG","N/A","2516-1091","ENGINEERING, BIOMEDICAL - ESCI","245","4.7","N/A","0.47","53.57"%,
"REVIEWS IN CHEMICAL ENGINEERING","REV CHEM ENG","0167-8299","2191-0235","ENGINEERING, CHEMICAL - SCIE","2,424","4.7","Q2","0.39","2.58"%,
"STEEL AND COMPOSITE STRUCTURES","STEEL COMPOS STRUCT","1229-9367","1598-6233","ENGINEERING, CIVIL - SCIE","6,065","4.6","Q1","1.1","0"%,
