"Journal Data Filtered By:  Selected Categories: COMMUNICATION;COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"PUBLIC UNDERSTANDING OF SCIENCE","PUBLIC UNDERST SCI","0963-6625","1361-6609","COMMUNICATION - SSCI","3,865","4.1","Q1","2.15","25.12"%,
"Artificial Intelligence and Law","ARTIF INTELL LAW","0924-8463","1572-8382","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","943","4.1","Q2","1.8","40.66"%,
"SOFT COMPUTING","SOFT COMPUT","1432-7643","1433-7479","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","20,745","4.1","Q2","0.73","4.4"%,
"Frontiers in Artificial Intelligence","FRONT ARTIF INTELL","N/A","2624-8212","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1,458","4","N/A","0.56","99.64"%,
"HEALTH COMMUNICATION","HEALTH COMMUN","1041-0236","1532-7027","COMMUNICATION - SSCI","8,396","3.9","Q1","1.35","5.91"%,
"CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS","CHEMOMETR INTELL LAB","0169-7439","1873-3239","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","11,921","3.9","Q2","1.06","13.77"%,
"Cognitive Systems Research","COGN SYST RES","2214-4366","1389-0417","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,411","3.9","Q2","1.05","16.67"%,
"Machine Learning and Knowledge Extraction","MACH LEARN KNOW EXTR","N/A","2504-4990","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","743","3.9","N/A","0.77","99.29"%,
"INTERNATIONAL JOURNAL OF APPROXIMATE REASONING","INT J APPROX REASON","0888-613X","1873-4731","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","5,449","3.9","Q2","0.73","16.02"%,
"PATTERN ANALYSIS AND APPLICATIONS","PATTERN ANAL APPL","1433-7541","1433-755X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,348","3.9","Q2","0.71","6.25"%,
"PeerJ Computer Science","PEERJ COMPUT SCI","N/A","2376-5992","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","3,869","3.8","Q2","0.81","96.9"%,
"COMMUNICATION THEORY","COMMUN THEOR","1050-3293","1468-2885","COMMUNICATION - SSCI","3,427","3.7","Q2","2.09","12.87"%,
"Big Data and Cognitive Computing","BIG DATA COGN COMPUT","N/A","2504-2289","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","934","3.7","N/A","0.66","100"%,
"Internet Policy Review","INTERNET POLICY REV","2197-6775","2197-6775","COMMUNICATION - ESCI","902","3.6","N/A","2.5","91.34"%,
"JOURNALISM & MASS COMMUNICATION QUARTERLY","J MASS COMMUN Q","1077-6990","2161-430X","COMMUNICATION - SSCI","3,433","3.6","Q2","1.41","13.53"%,
"International Journal of Interactive Multimedia and Artificial Intelligence","INT J INTERACT MULTI","1989-1660","1989-1660","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,208","3.6","Q3","0.75","100"%,
"Data-Centric Engineering","DATA-CENTRIC ENG","N/A","2632-6736","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","158","3.6","N/A","0.63","100"%,
"Communication and the Public","COMMUN PUBLIC","2057-0473","2057-0481","COMMUNICATION - ESCI","303","3.6","N/A","0.6","19.35"%,
"IEEE Transactions on Human-Machine Systems","IEEE T HUM-MACH SYST","2168-2291","2168-2305","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,776","3.6","Q3","0.54","15.11"%,
"INFORMATION SOCIETY","INFORM SOC","0197-2243","1087-6537","COMMUNICATION - SSCI","1,578","3.5","Q2","1.01","25"%,
"AUTONOMOUS ROBOTS","AUTON ROBOT","0929-5593","1573-7527","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","5,011","3.5","Q3","0.72","24.06"%,
"International Journal of Bio-Inspired Computation","INT J BIO-INSPIR COM","1758-0366","1758-0374","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,312","3.5","Q3","0.64","0"%,
"PUBLIC OPINION QUARTERLY","PUBLIC OPIN QUART","0033-362X","1537-5331","COMMUNICATION - SSCI","7,550","3.4","Q2","1.85","12.31"%,
"Journal of Public Relations Research","J PUBLIC RELAT RES","1062-726X","1532-754X","COMMUNICATION - SSCI","2,118","3.4","Q2","1.39","7.55"%,
"Journal of Current Issues and Research In Advertising","J CURR ISS RES AD","1064-1734","2164-7313","COMMUNICATION - ESCI","627","3.4","N/A","1.14","3.9"%,
"JOURNAL OF INTELLIGENT INFORMATION SYSTEMS","J INTELL INF SYST","0925-9902","1573-7675","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,577","3.4","Q3","0.55","20.19"%,
"ACM Transactions on Interactive Intelligent Systems","ACM T INTERACT INTEL","2160-6455","2160-6463","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","1,239","3.4","Q3","0.48","0"%,
"MEDIA CULTURE & SOCIETY","MEDIA CULT SOC","0163-4437","1460-3675","COMMUNICATION - SSCI","3,443","3.3","Q2","1.36","23.53"%,
